Domain,Area,Element,Item,Year,Unit,Value
"Emissions intensities","Afghanistan","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.4091"
"Emissions intensities","Albania","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.8959"
"Emissions intensities","Algeria","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","1.9363"
"Emissions intensities","American Samoa","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","4.7629"
"Emissions intensities","Angola","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","3.8153"
"Emissions intensities","Antigua and Barbuda","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","15.3354"
"Emissions intensities","Argentina","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.141"
"Emissions intensities","Armenia","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.4483"
"Emissions intensities","Australia","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.2464"
"Emissions intensities","Austria","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.293"
"Emissions intensities","Azerbaijan","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.6"
"Emissions intensities","Bahamas","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","1.9687"
"Emissions intensities","Bahrain","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.1743"
"Emissions intensities","Bangladesh","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0"
"Emissions intensities","Barbados","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.767"
"Emissions intensities","Belarus","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","2.0995"
"Emissions intensities","Belgium","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.1445"
"Emissions intensities","Belize","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.2038"
"Emissions intensities","Benin","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.7647"
"Emissions intensities","Bermuda","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.6695"
"Emissions intensities","Bhutan","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.2465"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","1.5066"
"Emissions intensities","Bosnia and Herzegovina","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.7871"
"Emissions intensities","Botswana","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.3106"
"Emissions intensities","Brazil","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.3337"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","2.7378"
"Emissions intensities","Bulgaria","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","0.28"
"Emissions intensities","Burkina Faso","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","2.6787"
"Emissions intensities","Burundi","Emissions intensity","Meat, chicken","2017","kg CO2eq/kg product","1.1483"
