Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","Afghanistan","Production","Poultry Meat","2017","1000 tonnes","28"
"Food Balances (2010-)","Afghanistan","Import Quantity","Poultry Meat","2017","1000 tonnes","29"
"Food Balances (2010-)","Afghanistan","Stock Variation","Poultry Meat","2017","1000 tonnes","-7"
"Food Balances (2010-)","Afghanistan","Domestic supply quantity","Poultry Meat","2017","1000 tonnes","64"
"Food Balances (2010-)","Afghanistan","Residuals","Poultry Meat","2017","1000 tonnes","0"
"Food Balances (2010-)","Afghanistan","Food","Poultry Meat","2017","1000 tonnes","64"
"Food Balances (2010-)","Afghanistan","Food supply quantity (kg/capita/yr)","Poultry Meat","2017","kg","1.76"
"Food Balances (2010-)","Afghanistan","Food supply (kcal/capita/day)","Poultry Meat","2017","kcal/capita/day","6"
"Food Balances (2010-)","Afghanistan","Protein supply quantity (g/capita/day)","Poultry Meat","2017","g/capita/day","0.63"
"Food Balances (2010-)","Afghanistan","Fat supply quantity (g/capita/day)","Poultry Meat","2017","g/capita/day","0.38"
"Food Balances (2010-)","Albania","Production","Poultry Meat","2017","1000 tonnes","13"
"Food Balances (2010-)","Albania","Import Quantity","Poultry Meat","2017","1000 tonnes","20"
"Food Balances (2010-)","Albania","Stock Variation","Poultry Meat","2017","1000 tonnes","0"
"Food Balances (2010-)","Albania","Export Quantity","Poultry Meat","2017","1000 tonnes","0"
"Food Balances (2010-)","Albania","Domestic supply quantity","Poultry Meat","2017","1000 tonnes","33"
"Food Balances (2010-)","Albania","Residuals","Poultry Meat","2017","1000 tonnes","0"
"Food Balances (2010-)","Albania","Food","Poultry Meat","2017","1000 tonnes","33"
"Food Balances (2010-)","Albania","Food supply quantity (kg/capita/yr)","Poultry Meat","2017","kg","11.45"
"Food Balances (2010-)","Albania","Food supply (kcal/capita/day)","Poultry Meat","2017","kcal/capita/day","59"
"Food Balances (2010-)","Albania","Protein supply quantity (g/capita/day)","Poultry Meat","2017","g/capita/day","4.44"
"Food Balances (2010-)","Albania","Fat supply quantity (g/capita/day)","Poultry Meat","2017","g/capita/day","4.46"
"Food Balances (2010-)","Algeria","Production","Poultry Meat","2017","1000 tonnes","284"
"Food Balances (2010-)","Algeria","Import Quantity","Poultry Meat","2017","1000 tonnes","2"
