Domain,Area,Element,Item,Year,Unit,Value
"Macro Indicators","Afghanistan","Value US$","Gross Domestic Product","2017","millions","18623.026651"
"Macro Indicators","Afghanistan","Value US$ per capita","Gross Domestic Product","2017","US$","513.085978"
"Macro Indicators","Albania","Value US$","Gross Domestic Product","2017","millions","13019.729856"
"Macro Indicators","Albania","Value US$ per capita","Gross Domestic Product","2017","US$","4514.204908"
"Macro Indicators","Algeria","Value US$","Gross Domestic Product","2017","millions","170097.205312"
"Macro Indicators","Algeria","Value US$ per capita","Gross Domestic Product","2017","US$","4109.701336"
"Macro Indicators","Andorra","Value US$","Gross Domestic Product","2017","millions","3000.160225"
"Macro Indicators","Andorra","Value US$ per capita","Gross Domestic Product","2017","US$","38962.613799"
"Macro Indicators","Angola","Value US$","Gross Domestic Product","2017","millions","122123.858628"
"Macro Indicators","Angola","Value US$ per capita","Gross Domestic Product","2017","US$","4095.811686"
"Macro Indicators","Anguilla","Value US$","Gross Domestic Product","2017","millions","284.214339"
"Macro Indicators","Anguilla","Value US$ per capita","Gross Domestic Product","2017","US$","19488.092328"
"Macro Indicators","Antigua and Barbuda","Value US$","Gross Domestic Product","2017","millions","1467.977778"
"Macro Indicators","Antigua and Barbuda","Value US$ per capita","Gross Domestic Product","2017","US$","15383.415188"
"Macro Indicators","Argentina","Value US$","Gross Domestic Product","2017","millions","642695.596034"
"Macro Indicators","Argentina","Value US$ per capita","Gross Domestic Product","2017","US$","14627.615635"
"Macro Indicators","Armenia","Value US$","Gross Domestic Product","2017","millions","11527.458713"
"Macro Indicators","Armenia","Value US$ per capita","Gross Domestic Product","2017","US$","3914.525246"
"Macro Indicators","Aruba","Value US$","Gross Domestic Product","2017","millions","3056.206704"
"Macro Indicators","Aruba","Value US$ per capita","Gross Domestic Product","2017","US$","29005.625191"
"Macro Indicators","Australia","Value US$","Gross Domestic Product","2017","millions","1416783.718751"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2017","US$","57628.863849"
"Macro Indicators","Austria","Value US$","Gross Domestic Product","2017","millions","417237.869116"
"Macro Indicators","Austria","Value US$ per capita","Gross Domestic Product","2017","US$","47306.411842"
"Macro Indicators","Azerbaijan","Value US$","Gross Domestic Product","2017","millions","40866.632048"
"Macro Indicators","Azerbaijan","Value US$ per capita","Gross Domestic Product","2017","US$","4150.868844"
"Macro Indicators","Bahamas","Value US$","Gross Domestic Product","2017","millions","12490.7"
"Macro Indicators","Bahamas","Value US$ per capita","Gross Domestic Product","2017","US$","32719.152336"
"Macro Indicators","Bahrain","Value US$","Gross Domestic Product","2017","millions","35473.776596"
"Macro Indicators","Bahrain","Value US$ per capita","Gross Domestic Product","2017","US$","23742.953234"
"Macro Indicators","Bangladesh","Value US$","Gross Domestic Product","2017","millions","245633.488923"
"Macro Indicators","Bangladesh","Value US$ per capita","Gross Domestic Product","2017","US$","1538.233627"
"Macro Indicators","Barbados","Value US$","Gross Domestic Product","2017","millions","4978.15"
"Macro Indicators","Barbados","Value US$ per capita","Gross Domestic Product","2017","US$","17392.010677"
"Macro Indicators","Belarus","Value US$","Gross Domestic Product","2017","millions","54725.418814"
"Macro Indicators","Belarus","Value US$ per capita","Gross Domestic Product","2017","US$","5790.908054"
"Macro Indicators","Belgium","Value US$","Gross Domestic Product","2017","millions","502698.069367"
"Macro Indicators","Belgium","Value US$ per capita","Gross Domestic Product","2017","US$","44020.066762"
"Macro Indicators","Belize","Value US$","Gross Domestic Product","2017","millions","1836.593466"
"Macro Indicators","Belize","Value US$ per capita","Gross Domestic Product","2017","US$","4887.55982"
"Macro Indicators","Benin","Value US$","Gross Domestic Product","2017","millions","12701.655846"
"Macro Indicators","Benin","Value US$ per capita","Gross Domestic Product","2017","US$","1136.59336"
"Macro Indicators","Bermuda","Value US$","Gross Domestic Product","2017","millions","7142.315691"
"Macro Indicators","Bermuda","Value US$ per capita","Gross Domestic Product","2017","US$","113281.982125"
"Macro Indicators","Bhutan","Value US$","Gross Domestic Product","2017","millions","2450.366316"
"Macro Indicators","Bhutan","Value US$ per capita","Gross Domestic Product","2017","US$","3286.598606"
"Macro Indicators","Bolivia (Plurinational State of)","Value US$","Gross Domestic Product","2017","millions","37508.683068"
"Macro Indicators","Bolivia (Plurinational State of)","Value US$ per capita","Gross Domestic Product","2017","US$","3351.127399"
"Macro Indicators","Bosnia and Herzegovina","Value US$","Gross Domestic Product","2017","millions","18080.610875"
"Macro Indicators","Bosnia and Herzegovina","Value US$ per capita","Gross Domestic Product","2017","US$","5394.741461"
"Macro Indicators","Botswana","Value US$","Gross Domestic Product","2017","millions","17405.552956"
"Macro Indicators","Botswana","Value US$ per capita","Gross Domestic Product","2017","US$","7893.388428"
"Macro Indicators","Brazil","Value US$","Gross Domestic Product","2017","millions","2062837.867573"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2017","US$","9925.419442"
"Macro Indicators","British Virgin Islands","Value US$","Gross Domestic Product","2017","millions","1207.33"
"Macro Indicators","British Virgin Islands","Value US$ per capita","Gross Domestic Product","2017","US$","40819.893836"
"Macro Indicators","Brunei Darussalam","Value US$","Gross Domestic Product","2017","millions","12128.166606"
"Macro Indicators","Brunei Darussalam","Value US$ per capita","Gross Domestic Product","2017","US$","28572.292244"
"Macro Indicators","Bulgaria","Value US$","Gross Domestic Product","2017","millions","58951.51617"
"Macro Indicators","Bulgaria","Value US$ per capita","Gross Domestic Product","2017","US$","8300.173316"
"Macro Indicators","Burkina Faso","Value US$","Gross Domestic Product","2017","millions","14106.955625"
"Macro Indicators","Burkina Faso","Value US$ per capita","Gross Domestic Product","2017","US$","734.996282"
"Macro Indicators","Burundi","Value US$","Gross Domestic Product","2017","millions","3217.01681"
"Macro Indicators","Burundi","Value US$ per capita","Gross Domestic Product","2017","US$","297.128583"
"Macro Indicators","Cabo Verde","Value US$","Gross Domestic Product","2017","millions","1769.786532"
"Macro Indicators","Cabo Verde","Value US$ per capita","Gross Domestic Product","2017","US$","3292.638357"
"Macro Indicators","Cambodia","Value US$","Gross Domestic Product","2017","millions","22177.200626"
"Macro Indicators","Cambodia","Value US$ per capita","Gross Domestic Product","2017","US$","1385.260419"
"Macro Indicators","Cameroon","Value US$","Gross Domestic Product","2017","millions","35009.259798"
"Macro Indicators","Cameroon","Value US$ per capita","Gross Domestic Product","2017","US$","1425.106072"
"Macro Indicators","Canada","Value US$","Gross Domestic Product","2017","millions","1649518.967468"
"Macro Indicators","Canada","Value US$ per capita","Gross Domestic Product","2017","US$","44906.74892"
"Macro Indicators","Cayman Islands","Value US$","Gross Domestic Product","2017","millions","5236.671341"
"Macro Indicators","Cayman Islands","Value US$ per capita","Gross Domestic Product","2017","US$","82620.796779"
"Macro Indicators","Central African Republic","Value US$","Gross Domestic Product","2017","millions","2072.349974"
"Macro Indicators","Central African Republic","Value US$ per capita","Gross Domestic Product","2017","US$","450.900697"
"Macro Indicators","Chad","Value US$","Gross Domestic Product","2017","millions","10394.020227"
"Macro Indicators","Chad","Value US$ per capita","Gross Domestic Product","2017","US$","692.16163"
"Macro Indicators","Chile","Value US$","Gross Domestic Product","2017","millions","277044.950259"
"Macro Indicators","Chile","Value US$ per capita","Gross Domestic Product","2017","US$","14999.370089"
"Macro Indicators","China","Value US$","Gross Domestic Product","2017","millions","12702483.483207"
"Macro Indicators","China","Value US$ per capita","Gross Domestic Product","2017","US$","8889.37841"
"Macro Indicators","China, Hong Kong SAR","Value US$","Gross Domestic Product","2017","millions","341241.97222"
"Macro Indicators","China, Hong Kong SAR","Value US$ per capita","Gross Domestic Product","2017","US$","46705.027813"
"Macro Indicators","China, Macao SAR","Value US$","Gross Domestic Product","2017","millions","50751.052735"
"Macro Indicators","China, Macao SAR","Value US$ per capita","Gross Domestic Product","2017","US$","81516.664768"
"Macro Indicators","China, mainland","Value US$","Gross Domestic Product","2017","millions","12310490.458252"
"Macro Indicators","China, mainland","Value US$ per capita","Gross Domestic Product","2017","US$","8663.125742"
"Macro Indicators","Colombia","Value US$","Gross Domestic Product","2017","millions","311883.730442"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2017","US$","6376.707362"
"Macro Indicators","Comoros","Value US$","Gross Domestic Product","2017","millions","1077.439756"
"Macro Indicators","Comoros","Value US$ per capita","Gross Domestic Product","2017","US$","1323.811705"
"Macro Indicators","Congo","Value US$","Gross Domestic Product","2017","millions","11011.6519"
"Macro Indicators","Congo","Value US$ per capita","Gross Domestic Product","2017","US$","2154.629048"
"Macro Indicators","Cook Islands","Value US$","Gross Domestic Product","2017","millions","345.608995"
"Macro Indicators","Cook Islands","Value US$ per capita","Gross Domestic Product","2017","US$","19741.188968"
"Macro Indicators","Costa Rica","Value US$","Gross Domestic Product","2017","millions","58481.859041"
"Macro Indicators","Costa Rica","Value US$ per capita","Gross Domestic Product","2017","US$","11814.626771"
"Macro Indicators","Côte d'Ivoire","Value US$","Gross Domestic Product","2017","millions","51588.154312"
"Macro Indicators","Côte d'Ivoire","Value US$ per capita","Gross Domestic Product","2017","US$","2111.026809"
"Macro Indicators","Croatia","Value US$","Gross Domestic Product","2017","millions","55319.365464"
"Macro Indicators","Croatia","Value US$ per capita","Gross Domestic Product","2017","US$","13225.258588"
"Macro Indicators","Cuba","Value US$","Gross Domestic Product","2017","millions","96851"
"Macro Indicators","Cuba","Value US$ per capita","Gross Domestic Product","2017","US$","8541.21444"
"Macro Indicators","Curaçao","Value US$","Gross Domestic Product","2017","millions","3116.62911"
"Macro Indicators","Curaçao","Value US$ per capita","Gross Domestic Product","2017","US$","19238.807571"
"Macro Indicators","Cyprus","Value US$","Gross Domestic Product","2017","millions","22638.471872"
"Macro Indicators","Cyprus","Value US$ per capita","Gross Domestic Product","2017","US$","26483.877988"
"Macro Indicators","Czechia","Value US$","Gross Domestic Product","2017","millions","218628.940952"
"Macro Indicators","Czechia","Value US$ per capita","Gross Domestic Product","2017","US$","20545.836143"
"Macro Indicators","Democratic People's Republic of Korea","Value US$","Gross Domestic Product","2017","millions","17364.724931"
"Macro Indicators","Democratic People's Republic of Korea","Value US$ per capita","Gross Domestic Product","2017","US$","686.340258"
"Macro Indicators","Democratic Republic of the Congo","Value US$","Gross Domestic Product","2017","millions","37642.464497"
"Macro Indicators","Democratic Republic of the Congo","Value US$ per capita","Gross Domestic Product","2017","US$","462.445161"
"Macro Indicators","Denmark","Value US$","Gross Domestic Product","2017","millions","332121.063806"
"Macro Indicators","Denmark","Value US$ per capita","Gross Domestic Product","2017","US$","57938.797728"
"Macro Indicators","Djibouti","Value US$","Gross Domestic Product","2017","millions","2766.868072"
"Macro Indicators","Djibouti","Value US$ per capita","Gross Domestic Product","2017","US$","2930.696963"
"Macro Indicators","Dominica","Value US$","Gross Domestic Product","2017","millions","519.833333"
"Macro Indicators","Dominica","Value US$ per capita","Gross Domestic Product","2017","US$","7274.669503"
"Macro Indicators","Dominican Republic","Value US$","Gross Domestic Product","2017","millions","79998.045976"
"Macro Indicators","Dominican Republic","Value US$ per capita","Gross Domestic Product","2017","US$","7609.365034"
"Macro Indicators","Ecuador","Value US$","Gross Domestic Product","2017","millions","104295.862"
"Macro Indicators","Ecuador","Value US$ per capita","Gross Domestic Product","2017","US$","6213.501276"
"Macro Indicators","Egypt","Value US$","Gross Domestic Product","2017","millions","195135.299313"
"Macro Indicators","Egypt","Value US$ per capita","Gross Domestic Product","2017","US$","2023.331158"
"Macro Indicators","El Salvador","Value US$","Gross Domestic Product","2017","millions","24979.19"
"Macro Indicators","El Salvador","Value US$ per capita","Gross Domestic Product","2017","US$","3910.253179"
"Macro Indicators","Equatorial Guinea","Value US$","Gross Domestic Product","2017","millions","12200.913888"
"Macro Indicators","Equatorial Guinea","Value US$ per capita","Gross Domestic Product","2017","US$","9667.903765"
"Macro Indicators","Eritrea","Value US$","Gross Domestic Product","2017","millions","1903.966833"
"Macro Indicators","Eritrea","Value US$ per capita","Gross Domestic Product","2017","US$","557.874751"
"Macro Indicators","Estonia","Value US$","Gross Domestic Product","2017","millions","26951.648829"
