Domain,Area,Element,Item,Year,Unit,Value
"Suite of Food Security Indicators","Afghanistan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.8"
"Suite of Food Security Indicators","Albania","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.38"
"Suite of Food Security Indicators","Algeria","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.92"
"Suite of Food Security Indicators","American Samoa","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.22"
"Suite of Food Security Indicators","Andorra","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.42"
"Suite of Food Security Indicators","Angola","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.33"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.75"
"Suite of Food Security Indicators","Argentina","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.17"
"Suite of Food Security Indicators","Armenia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.62"
"Suite of Food Security Indicators","Australia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.89"
"Suite of Food Security Indicators","Austria","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.05"
"Suite of Food Security Indicators","Azerbaijan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.75"
"Suite of Food Security Indicators","Bahamas","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.99"
"Suite of Food Security Indicators","Bahrain","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.96"
"Suite of Food Security Indicators","Bangladesh","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.26"
"Suite of Food Security Indicators","Barbados","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.97"
"Suite of Food Security Indicators","Belarus","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.05"
"Suite of Food Security Indicators","Belgium","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.43"
"Suite of Food Security Indicators","Belize","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.04"
"Suite of Food Security Indicators","Benin","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.03"
"Suite of Food Security Indicators","Bermuda","Value","Political stability and absence of violence/terrorism (index)","2017","index","1"
"Suite of Food Security Indicators","Bhutan","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.12"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.28"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.35"
"Suite of Food Security Indicators","Botswana","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.02"
"Suite of Food Security Indicators","Brazil","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.42"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.16"
"Suite of Food Security Indicators","Bulgaria","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.33"
"Suite of Food Security Indicators","Burkina Faso","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.93"
"Suite of Food Security Indicators","Burundi","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.01"
"Suite of Food Security Indicators","Cabo Verde","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.77"
"Suite of Food Security Indicators","Cambodia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.09"
"Suite of Food Security Indicators","Cameroon","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.1"
"Suite of Food Security Indicators","Canada","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.1"
"Suite of Food Security Indicators","Central African Republic","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.01"
"Suite of Food Security Indicators","Chad","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.29"
"Suite of Food Security Indicators","Chile","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.42"
"Suite of Food Security Indicators","China, Hong Kong SAR","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.83"
"Suite of Food Security Indicators","China, Macao SAR","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.43"
"Suite of Food Security Indicators","China, Taiwan Province of","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.86"
"Suite of Food Security Indicators","Colombia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.77"
"Suite of Food Security Indicators","Comoros","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.04"
"Suite of Food Security Indicators","Congo","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.53"
"Suite of Food Security Indicators","Costa Rica","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.61"
"Suite of Food Security Indicators","C?te d'Ivoire","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.09"
"Suite of Food Security Indicators","Croatia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.69"
"Suite of Food Security Indicators","Cuba","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.65"
"Suite of Food Security Indicators","Cyprus","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.54"
"Suite of Food Security Indicators","Czechia","Value","Political stability and absence of violence/terrorism (index)","2017","index","1"
"Suite of Food Security Indicators","Democratic People's Republic of Korea","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.5"
"Suite of Food Security Indicators","Democratic Republic of the Congo","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.35"
"Suite of Food Security Indicators","Denmark","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.87"
"Suite of Food Security Indicators","Djibouti","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.74"
"Suite of Food Security Indicators","Dominica","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.2"
"Suite of Food Security Indicators","Dominican Republic","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.16"
"Suite of Food Security Indicators","Ecuador","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.07"
"Suite of Food Security Indicators","Egypt","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.42"
"Suite of Food Security Indicators","El Salvador","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.26"
"Suite of Food Security Indicators","Equatorial Guinea","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.17"
