Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Afghanistan","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","36296.113"
"Annual population","Albania","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","2884.169"
"Annual population","Algeria","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","41389.189"
"Annual population","American Samoa","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","55.62"
"Annual population","Andorra","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","77.001"
"Annual population","Angola","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","29816.766"
"Annual population","Anguilla","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","14.584"
"Annual population","Antigua and Barbuda","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","95.426"
"Annual population","Argentina","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","43937.14"
"Annual population","Armenia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","2944.791"
"Annual population","Aruba","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","105.366"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","24584.62"
"Annual population","Austria","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","8819.901"
"Annual population","Azerbaijan","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","9845.32"
"Annual population","Bahamas","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","381.755"
"Annual population","Bahrain","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1494.076"
"Annual population","Bangladesh","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","159685.424"
"Annual population","Barbados","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","286.232"
"Annual population","Belarus","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","9450.231"
"Annual population","Belgium","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","11419.748"
"Annual population","Belize","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","375.769"
"Annual population","Benin","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","11175.198"
"Annual population","Bermuda","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","63.049"
"Annual population","Bhutan","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","745.563"
"Annual population","Bolivia (Plurinational State of)","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","11192.855"
"Annual population","Bonaire, Sint Eustatius and Saba","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","25.401"
"Annual population","Bosnia and Herzegovina","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","3351.525"
"Annual population","Botswana","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","2205.08"
"Annual population","Brazil","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","207833.823"
"Annual population","British Virgin Islands","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","29.577"
"Annual population","Brunei Darussalam","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","424.473"
"Annual population","Bulgaria","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","7102.444"
"Annual population","Burkina Faso","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","19193.234"
"Annual population","Burundi","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","10827.019"
"Annual population","Cabo Verde","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","537.498"
"Annual population","Cambodia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","16009.409"
"Annual population","Cameroon","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","24566.073"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","36732.095"
"Annual population","Cayman Islands","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","63.382"
"Annual population","Central African Republic","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","4596.023"
"Annual population","Chad","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","15016.753"
"Annual population","Channel Islands","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","168.665"
"Annual population","Chile","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","18470.439"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1452625.244"
"Annual population","China, Hong Kong SAR","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","7306.322"
"Annual population","China, Macao SAR","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","622.585"
"Annual population","China, mainland","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1421021.791"
"Annual population","China, Taiwan Province of","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","23674.546"
"Annual population","Colombia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","48909.839"
"Annual population","Comoros","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","813.892"
"Annual population","Congo","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","5110.695"
"Annual population","Cook Islands","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","17.507"
"Annual population","Costa Rica","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","4949.954"
"Annual population","C?te d'Ivoire","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","24437.47"
"Annual population","Croatia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","4182.857"
"Annual population","Cuba","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","11339.254"
"Annual population","Cura?ao","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","161.997"
"Annual population","Cyprus","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1179.678"
"Annual population","Czechia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","10641.034"
"Annual population","Democratic People's Republic of Korea","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","25429.825"
"Annual population","Democratic Republic of the Congo","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","81398.764"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","5732.274"
"Annual population","Djibouti","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","944.099"
"Annual population","Dominica","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","71.458"
"Annual population","Dominican Republic","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","10513.104"
"Annual population","Ecuador","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","16785.361"
"Annual population","Egypt","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","96442.591"
"Annual population","El Salvador","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","6388.126"
"Annual population","Equatorial Guinea","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1262.002"
"Annual population","Eritrea","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","3412.893"
"Annual population","Estonia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1319.39"
"Annual population","Eswatini","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 persons","1124.805"
